Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025-12-31 12:00:00;2025-12-31 13:00:00;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39008;Ville de Schoelcher;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2;2;µg-m3;;;;A;1;14.616389;-61.100792
2025-12-31 12:00:00;2025-12-31 13:00:00;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39009;Lamentin;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2.7;2.7;µg-m3;;;;A;1;14.610653;-61.002586
2025-12-31 12:00:00;2025-12-31 13:00:00;MADININAIR;FR02ZRE01;ZR MARTINIQUE;FR39014;Sainte_Luce;Périurbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2.3;2.25;µg-m3;;;;A;1;14.468869;-60.927417
2025-12-31 12:00:00;2025-12-31 13:00:00;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39015;Fort-de-France - Hôtel de ville;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2.2;2.2;µg-m3;;;;A;1;14.607444;-61.069778
2025-12-31 12:00:00;2025-12-31 13:00:00;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39016;Robert Bourg;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2;1.975;µg-m3;;;;A;1;14.678025;-60.939056
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GUYANE;FR03ZRE01;ZR GUYANE;FR40006;Kourou Gaston Monnerville Brady;Urbaine;PM2.5;Fond;Oui;mesures indicatives;moyenne horaire validée;5.8;5.8;µg-m3;;;;A;1;5.164248;-52.64649
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GUYANE;FR03ZAR01;ZAR ILE-DE-CAYENNE;FR40008;Caiena3;Urbaine;PM2.5;Fond;Oui;mesures indicatives;moyenne horaire validée;5.6;5.575;µg-m3;;;;A;1;4.9378467;-52.32093
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GUYANE;FR03ZAR01;ZAR ILE-DE-CAYENNE;FR40009;Cayenne-Bouchon;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;;;µg/m3;;;;N;-1;4.920833;-52.321944
2025-12-31 12:00:00;2025-12-31 13:00:00;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;5.3;5.25;µg-m3;;;;A;1;41.924694;8.735694
2025-12-31 12:00:00;2025-12-31 13:00:00;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2.6;2.625;µg-m3;;;;R;1;42.697917;9.446417
2025-12-31 12:00:00;2025-12-31 13:00:00;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2.8;2.75;µg-m3;;;;A;1;42.671333;9.434639
2025-12-31 12:00:00;2025-12-31 13:00:00;QUALITAIR CORSE;FR94ZRE01;ZR CORSE;FR41024;VENACO;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;0.7;0.7;µg-m3;;;;A;1;42.236028;9.190028
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GRAND EST;FR44ZAG01;ZAG STRASBOURG;FR42010;Strasbourg Neudorf Ecoquartier Danube;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;14.5;14.475;µg-m3;;;;A;1;48.572808;7.767833
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR42011;Haguenau-Place marché aux bestiaux;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;9.1;9.125;µg/m3;;;;A;1;48.818352;7.786409
2025-12-31 12:00:00;2025-12-31 13:00:00;HAWA MAYOTTE;FR06ZRE01;ZR MAYOTTE;FR43002;Convalescence;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;6.4;6.35;µg-m3;;;;A;1;-12.778186;45.220235
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR50060;Montauban - Ramierou;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;14.1;14.1;µg/m3;;;;A;1;44.01285657;1.37530522
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO OCCITANIE;FR76ZAR01;ZAR PERPIGNAN;FR50224;Perpignan bd Pyrénées;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;5.3;5.3;µg/m3;;;;A;1;42.69587;2.888483
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR50225;Montpellier Liberté;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;9.1;9.125;µg/m3;;;;A;1;43.611606;3.827868
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR03;ZAR BESANCON;FR82006;Besançon Prévoyance;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;5.6;5.6;µg-m3;;;;A;1;47.2474;6.015419
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR01;ZAR BELFORT-MONTBELIARD;FR82010;Montbéliard centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;4.8;4.825;µg-m3;;;;A;1;47.510307;6.794
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR01;ZAR BELFORT-MONTBELIARD;FR82021;Belfort centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;7.9;7.9;µg-m3;;;;A;1;47.630755;6.858944
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82030;Montandon Baresans;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;2.1;2.1;µg-m3;;;;A;1;47.29464;6.825861
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82040;Dole centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;;;µg-m3;;;;N;-1;47.09672;5.496389
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82060;Vesoul Pres Caillet;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;7.4;7.4;µg-m3;;;;A;1;47.620022;6.157642
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82070;Baume-les-Dames;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;5.7;5.7;µg-m3;;;;A;1;47.351288;6.359722
